experiment,run_name,run_dir,hidden_layers,neurons,lr,batch_size,train_size,epochs,feature_encoding,tag,seed,status,diverged_epoch,best_epoch,best_eval_rmse_liters,best_eval_mse_liters2,train_time_s,total_time_s,epochs_completed,n_parameters,in_dimension,steps_per_epoch,optimizer_steps,test_rmse_liters,test_mse_liters2,device,gpu_name,torch,python,git_commit
gpu_arch,h2_n32_lr0.001_bs10000_ntrain100000_ep1000_seed2,runs/gpu_arch/h2_n32_lr0.001_bs10000_ntrain100000_ep1000_seed2,2,32,0.001,10000,100000,1000,raw,,2,completed,,998,5.496179443032144,30.207988470009127,3.4076054324395955,3.665087122004479,1000,1569,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h2_n32_lr0.001_bs10000_ntrain100000_ep1000_seed3,runs/gpu_arch/h2_n32_lr0.001_bs10000_ntrain100000_ep1000_seed3,2,32,0.001,10000,100000,1000,raw,,3,completed,,998,5.8272726963164505,33.95710707723519,3.4249395036604255,3.6845910400152206,1000,1569,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h2_n32_lr0.001_bs10000_ntrain100000_ep1000_seed4,runs/gpu_arch/h2_n32_lr0.001_bs10000_ntrain100000_ep1000_seed4,2,32,0.001,10000,100000,1000,raw,,4,completed,,993,6.149245504864354,37.813220279094466,3.51553659979254,3.778691947925836,1000,1569,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h2_n64_lr0.001_bs10000_ntrain100000_ep1000_seed0,runs/gpu_arch/h2_n64_lr0.001_bs10000_ntrain100000_ep1000_seed0,2,64,0.001,10000,100000,1000,raw,,0,completed,,987,3.873997618412948,15.007857547469193,3.4182907291688025,3.7018426349386573,1000,5185,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h2_n64_lr0.001_bs10000_ntrain100000_ep1000_seed1,runs/gpu_arch/h2_n64_lr0.001_bs10000_ntrain100000_ep1000_seed1,2,64,0.001,10000,100000,1000,raw,,1,completed,,988,4.144991706217225,17.180956244609582,3.18447039835155,3.4639220738317817,1000,5185,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h2_n64_lr0.001_bs10000_ntrain100000_ep1000_seed2,runs/gpu_arch/h2_n64_lr0.001_bs10000_ntrain100000_ep1000_seed2,2,64,0.001,10000,100000,1000,raw,,2,completed,,999,4.013906050861095,16.111441785139313,3.1928000662010163,3.4754975070245564,1000,5185,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h2_n64_lr0.001_bs10000_ntrain100000_ep1000_seed3,runs/gpu_arch/h2_n64_lr0.001_bs10000_ntrain100000_ep1000_seed3,2,64,0.001,10000,100000,1000,raw,,3,completed,,996,3.9795386533642283,15.836727893619976,3.587498967302963,3.875187247991562,1000,5185,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h2_n64_lr0.001_bs10000_ntrain100000_ep1000_seed4,runs/gpu_arch/h2_n64_lr0.001_bs10000_ntrain100000_ep1000_seed4,2,64,0.001,10000,100000,1000,raw,,4,completed,,997,4.13456919267454,17.0946624090134,3.303445468423888,3.59287207107991,1000,5185,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h3_n128_lr0.001_bs10000_ntrain100000_ep1000_seed0,runs/gpu_arch/h3_n128_lr0.001_bs10000_ntrain100000_ep1000_seed0,3,128,0.001,10000,100000,1000,raw,,0,completed,,986,2.6508467652815955,7.026988573003898,3.6823395940009505,4.154131466988474,1000,35073,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h3_n128_lr0.001_bs10000_ntrain100000_ep1000_seed1,runs/gpu_arch/h3_n128_lr0.001_bs10000_ntrain100000_ep1000_seed1,3,128,0.001,10000,100000,1000,raw,,1,completed,,987,2.64298906654429,6.985391205872658,4.212671157903969,4.684175151865929,1000,35073,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h3_n128_lr0.001_bs10000_ntrain100000_ep1000_seed2,runs/gpu_arch/h3_n128_lr0.001_bs10000_ntrain100000_ep1000_seed2,3,128,0.001,10000,100000,1000,raw,,2,completed,,989,2.5744374034017246,6.627727944033814,3.8955510368105024,4.3675377308391035,1000,35073,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h3_n128_lr0.001_bs10000_ntrain100000_ep1000_seed3,runs/gpu_arch/h3_n128_lr0.001_bs10000_ntrain100000_ep1000_seed3,3,128,0.001,10000,100000,1000,raw,,3,completed,,996,2.726585970690978,7.434271055568862,4.155170689104125,4.624887923011556,1000,35073,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h3_n128_lr0.001_bs10000_ntrain100000_ep1000_seed4,runs/gpu_arch/h3_n128_lr0.001_bs10000_ntrain100000_ep1000_seed4,3,128,0.001,10000,100000,1000,raw,,4,completed,,982,2.6312459325016957,6.9234551573067185,4.143927480792627,4.616221568081528,1000,35073,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h3_n256_lr0.001_bs10000_ntrain100000_ep1000_seed0,runs/gpu_arch/h3_n256_lr0.001_bs10000_ntrain100000_ep1000_seed0,3,256,0.001,10000,100000,1000,raw,,0,completed,,991,2.2259168268616567,4.954705720105866,4.7729885680601,5.9931824209634215,1000,135681,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h3_n256_lr0.001_bs10000_ntrain100000_ep1000_seed1,runs/gpu_arch/h3_n256_lr0.001_bs10000_ntrain100000_ep1000_seed1,3,256,0.001,10000,100000,1000,raw,,1,completed,,997,2.2278828284137564,4.9634618971408795,4.664707373129204,5.9023270988836884,1000,135681,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h3_n256_lr0.001_bs10000_ntrain100000_ep1000_seed2,runs/gpu_arch/h3_n256_lr0.001_bs10000_ntrain100000_ep1000_seed2,3,256,0.001,10000,100000,1000,raw,,2,completed,,987,2.20199919458659,4.848800452959992,4.847751486580819,6.095309789991006,1000,135681,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h3_n256_lr0.001_bs10000_ntrain100000_ep1000_seed3,runs/gpu_arch/h3_n256_lr0.001_bs10000_ntrain100000_ep1000_seed3,3,256,0.001,10000,100000,1000,raw,,3,completed,,984,2.2081595621367387,4.8759686518559135,4.556811192538589,5.781199987046421,1000,135681,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h3_n256_lr0.001_bs10000_ntrain100000_ep1000_seed4,runs/gpu_arch/h3_n256_lr0.001_bs10000_ntrain100000_ep1000_seed4,3,256,0.001,10000,100000,1000,raw,,4,completed,,997,2.239792612517205,5.016670947086646,4.534401822369546,5.759152790997177,1000,135681,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h3_n32_lr0.001_bs10000_ntrain100000_ep1000_seed0,runs/gpu_arch/h3_n32_lr0.001_bs10000_ntrain100000_ep1000_seed0,3,32,0.001,10000,100000,1000,raw,,0,completed,,995,4.744899200923239,22.514068426921995,4.162356621585786,4.463496075943112,1000,2625,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h3_n32_lr0.001_bs10000_ntrain100000_ep1000_seed1,runs/gpu_arch/h3_n32_lr0.001_bs10000_ntrain100000_ep1000_seed1,3,32,0.001,10000,100000,1000,raw,,1,completed,,997,4.830838307702606,23.336998755166974,3.561871615005657,3.8560127581004053,1000,2625,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h3_n32_lr0.001_bs10000_ntrain100000_ep1000_seed2,runs/gpu_arch/h3_n32_lr0.001_bs10000_ntrain100000_ep1000_seed2,3,32,0.001,10000,100000,1000,raw,,2,completed,,996,4.878400765855999,23.7987940323044,3.605183163424954,3.8997236299328506,1000,2625,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h3_n32_lr0.001_bs10000_ntrain100000_ep1000_seed3,runs/gpu_arch/h3_n32_lr0.001_bs10000_ntrain100000_ep1000_seed3,3,32,0.001,10000,100000,1000,raw,,3,completed,,995,4.542648934370664,20.635659340938933,3.55605486407876,3.8530039580073208,1000,2625,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h3_n32_lr0.001_bs10000_ntrain100000_ep1000_seed4,runs/gpu_arch/h3_n32_lr0.001_bs10000_ntrain100000_ep1000_seed4,3,32,0.001,10000,100000,1000,raw,,4,completed,,996,4.905776677242425,24.06664480697573,3.540942672640085,3.8328224890865386,1000,2625,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h3_n64_lr0.001_bs10000_ntrain100000_ep1000_seed0,runs/gpu_arch/h3_n64_lr0.001_bs10000_ntrain100000_ep1000_seed0,3,64,0.001,10000,100000,1000,raw,,0,completed,,981,3.434927776878695,11.798728832372815,3.5974623828660697,3.9424854430835694,1000,9345,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h3_n64_lr0.001_bs10000_ntrain100000_ep1000_seed1,runs/gpu_arch/h3_n64_lr0.001_bs10000_ntrain100000_ep1000_seed1,3,64,0.001,10000,100000,1000,raw,,1,completed,,996,3.40727626845574,11.609531569581671,3.8490094197914004,4.196059426991269,1000,9345,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h3_n64_lr0.001_bs10000_ntrain100000_ep1000_seed2,runs/gpu_arch/h3_n64_lr0.001_bs10000_ntrain100000_ep1000_seed2,3,64,0.001,10000,100000,1000,raw,,2,completed,,991,3.418931580055301,11.689093149099437,4.161914927186444,4.517389815999195,1000,9345,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h3_n64_lr0.001_bs10000_ntrain100000_ep1000_seed3,runs/gpu_arch/h3_n64_lr0.001_bs10000_ntrain100000_ep1000_seed3,3,64,0.001,10000,100000,1000,raw,,3,completed,,991,3.43074549035448,11.770014619587602,4.155968514969572,4.5069487751461565,1000,9345,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
gpu_arch,h3_n64_lr0.001_bs10000_ntrain100000_ep1000_seed4,runs/gpu_arch/h3_n64_lr0.001_bs10000_ntrain100000_ep1000_seed4,3,64,0.001,10000,100000,1000,raw,,4,completed,,993,3.4535821529437385,11.927229687131508,3.5150110733229667,3.8523106779903173,1000,9345,14,10,10000,,,cuda,NVIDIA GeForce RTX 5090,2.13.0+cu129,3.13.12,66a1035
